,Real,Naive,SARIMAX,Exponential_Smoothing,THETA,ETS_no_trend,XGBoost,LSTM
2025-01-15,6.188138032969813,6.142074034005295,6.195064866365712,6.168959389015587,,6.157123921196318,6.2560754,6.177083287410225
2025-01-31,6.231319476019994,6.142074034005295,6.284664088985807,6.175205319073604,,6.153133954167016,6.2112093,6.214456024333696
2025-02-15,6.385941808083893,6.142074034005295,6.337982706029217,6.235096617038555,,6.202740211344816,6.1336403,6.243244484879624
2025-02-28,6.389178657821207,6.142074034005295,6.319790855497443,6.255291194989544,,6.212697124777857,6.129964,6.260398121193386
2025-03-15,6.377973054848531,6.142074034005295,6.322997240077063,6.337779103794521,,6.284948385956635,6.142642,6.263287842689744
2025-03-31,6.362242723544482,6.142074034005295,6.321051399780921,6.370225614226246,,6.307162213988507,6.130927,6.272221435002275
2025-04-15,6.344828685490387,6.142074034005295,6.274011958592781,6.343994518486852,,6.270705112802572,6.142642,6.276590053853831
2025-04-30,6.326199218424497,6.142074034005295,6.288421356734326,6.343742153899164,,6.260206973032099,6.142642,6.281352466756322
2025-05-15,6.297620872992991,6.142074034005295,6.218466591956662,6.364141267969079,,6.270363570483765,6.1145267,6.2929796971638154
2025-05-31,6.305189435416785,6.142074034005295,6.24272019696391,6.36069513803815,,6.25663921671772,6.1070004,6.29528333812018
2025-06-15,6.261350945387895,6.142074034005295,6.231260285211493,6.369975532856655,,6.255599953975493,6.1063137,6.299881127752067
2025-06-30,6.234084286204773,6.142074034005295,6.239446948519868,6.357937318013699,,6.233213371133637,6.1153517,6.297669697523883
2025-07-15,6.212257282516547,6.142074034005295,6.155208429139806,6.306008418298558,,6.170838958387364,6.13826,6.28705190338194
2025-07-31,6.225825301115922,6.142074034005295,6.171830234501365,6.2900501715103,,6.144420071346587,6.172795,6.26872664840424
2025-08-15,6.2394595609462975,6.142074034005295,6.173651070186605,6.282314067085356,,6.126153421556012,6.1339126,6.259544358333645
2025-08-31,6.238976350761071,6.142074034005295,6.163495825429151,6.296730443184869,,6.13001495690324,6.127901,6.255587433262613
2025-09-15,6.241731295107065,6.142074034005295,6.197008814679018,6.294906816448006,,6.117587382573846,6.1089406,6.246869993745257
2025-09-30,6.229923620689268,6.142074034005295,6.212791156427999,6.29493234221283,,6.106949192014074,6.078993,6.24211517466744
2025-10-15,6.305064473848909,6.142074034005295,6.220795418009138,6.325639138450198,,6.126946102318966,6.1027584,6.233392582197626
2025-10-31,6.210152466707502,6.142074034005295,6.168468255133268,6.343736613606814,,6.134278724948545,6.1035857,6.2288495765866
2025-11-15,6.23475455438251,6.142074034005295,6.18704746710932,6.3781751010772805,,6.15796276711495,6.101131,6.223361411011725
2025-11-30,6.191807976311245,6.142074034005295,6.178434039765043,6.396897838278014,,6.165861758602877,6.1035857,6.221937840093434
2025-12-15,6.204787539748771,6.142074034005295,6.208998315046418,6.398763414517589,,6.1568911005937705,6.1035857,6.218702599574425
2025-12-31,6.303726048009214,6.142074034005295,6.317881679227841,6.394766375596475,,6.14207403385417,6.0946717,6.22272244490704
